"","scenario","type","method1","method2","distance","pValue"
"421","299","IMPACT","classic","area",7.3265,2e-04
"422","299","OCCURRENCE","classic","area",7.8854,1e-04
"423","299","IMPACT","classic","center",12.563,0
"424","299","OCCURRENCE","classic","center",8.4922,1e-04
"425","299","IMPACT","classic","centertogrid",2.2241,0.0681
"426","299","OCCURRENCE","classic","centertogrid",1.5516,0.1629
"427","299","IMPACT","classic","reachedgrid",2.1561,0.0747
"428","299","OCCURRENCE","classic","reachedgrid",1.6888,0.1359
"429","299","IMPACT","classic","weighted",10.315,0
"430","299","OCCURRENCE","classic","weighted",6.7432,4e-04
"431","299","IMPACT","classic","pooling",Inf,0
"432","299","OCCURRENCE","classic","pooling",Inf,0
"433","299","IMPACT","area","center",1.4509,0.1887
"434","299","OCCURRENCE","area","center",0.2874,0.9467
"435","299","IMPACT","area","centertogrid",3.6529,0.013
"436","299","OCCURRENCE","area","centertogrid",15.017,0
"437","299","IMPACT","area","reachedgrid",7.9311,1e-04
"438","299","OCCURRENCE","area","reachedgrid",18.868,0
"439","299","IMPACT","area","weighted",0.6156,0.6317
"440","299","OCCURRENCE","area","weighted",3.8546,0.0104
"441","299","IMPACT","area","pooling",Inf,0
"442","299","OCCURRENCE","area","pooling",Inf,0
"443","299","IMPACT","center","centertogrid",6.1248,8e-04
"444","299","OCCURRENCE","center","centertogrid",11.223,0
"445","299","IMPACT","center","reachedgrid",10.376,0
"446","299","OCCURRENCE","center","reachedgrid",12.651,0
"447","299","IMPACT","center","weighted",0.7761,0.5008
"448","299","OCCURRENCE","center","weighted",2.58,0.0439
"449","299","IMPACT","center","pooling",Inf,0
"450","299","OCCURRENCE","center","pooling",Inf,0
"451","299","IMPACT","centertogrid","reachedgrid",0.5983,0.6517
"452","299","OCCURRENCE","centertogrid","reachedgrid",0.1563,0.9988
"453","299","IMPACT","centertogrid","weighted",4.5442,0.0045
"454","299","OCCURRENCE","centertogrid","weighted",5.8938,0.001
"455","299","IMPACT","centertogrid","pooling",Inf,0
"456","299","OCCURRENCE","centertogrid","pooling",Inf,0
"457","299","IMPACT","reachedgrid","weighted",9.0064,0
"458","299","OCCURRENCE","reachedgrid","weighted",6.202,7e-04
"459","299","IMPACT","reachedgrid","pooling",Inf,0
"460","299","OCCURRENCE","reachedgrid","pooling",Inf,0
"461","299","IMPACT","weighted","pooling",Inf,0
"462","299","OCCURRENCE","weighted","pooling",Inf,0
"463","300","IMPACT","classic","area",7.0124,3e-04
"464","300","OCCURRENCE","classic","area",3.5582,0.0144
"465","300","IMPACT","classic","center",10.581,0
"466","300","OCCURRENCE","classic","center",3.7857,0.0107
"467","300","IMPACT","classic","centertogrid",3.4698,0.0154
"468","300","OCCURRENCE","classic","centertogrid",1.0761,0.3189
"469","300","IMPACT","classic","reachedgrid",3.4296,0.0163
"470","300","OCCURRENCE","classic","reachedgrid",2.0317,0.0872
"471","300","IMPACT","classic","weighted",11.642,0
"472","300","OCCURRENCE","classic","weighted",2.5103,0.0478
"473","300","IMPACT","classic","pooling",Inf,0
"474","300","OCCURRENCE","classic","pooling",Inf,0
"475","300","IMPACT","area","center",1.4509,0.1887
"476","300","OCCURRENCE","area","center",0.2874,0.9467
"477","300","IMPACT","area","centertogrid",3.7755,0.0113
"478","300","OCCURRENCE","area","centertogrid",5.3553,0.0019
"479","300","IMPACT","area","reachedgrid",7.5973,2e-04
"480","300","OCCURRENCE","area","reachedgrid",11.537,0
"481","300","IMPACT","area","weighted",0.7294,0.5338
"482","300","OCCURRENCE","area","weighted",2.9903,0.0279
"483","300","IMPACT","area","pooling",Inf,0
"484","300","OCCURRENCE","area","pooling",Inf,0
"485","300","IMPACT","center","centertogrid",4.8046,0.0034
"486","300","OCCURRENCE","center","centertogrid",5.8881,0.001
