QUES2SURV_ID;COUNTANS;QUES2SURV_QUESID;QUES2SURV_SURVID;QUES2SURV_SORT;QUES2SURV_METHOD;QUES2SURV_KBID;QUES_ID;QUES_TYP;QUES_TEXT;QUES_HEADLINE;QUES_CATEGORY;QUES_TOPIC;QUES_CAUSE;QUES_EFFECT
4213;6;1049;321;20;classic;PF002;1049;Chance;[PF3] Adaptierung/Modernisierung der räumlichen Strukturen an die Anforderungen des Versorgungsauftrags sowie an die Anforderungen der betroffenen Primär- und Sekundärversorgungsbereiche;Chancenfrage;Projektfolgen;PF;;
4214;7;1044;321;21;classic;PF003;1044;Risiko;[PF4] einschneidende organisatorische Veränderungen im Betrieb;Risikofrage;Projektfolgen;PF;;
4215;7;1045;321;22;classic;PF004;1045;Risiko;[PF5] personelle Veränderungen (innerhalb der Auftraggeber Organisation) groß;Risikofrage;Projektfolgen;PF;;
4203;7;1028;321;23;classic;PO001;1028;Risiko;[PO1] Langwierige Entscheidungsfindung;Risikofrage;Projektorganisation;PO;;
4204;7;1029;321;24;classic;PO002;1029;Risiko;[PO2] Nicht vorhandene bzw. nicht kommunizierte QM-Standards;Risikofrage;Projektorganisation;PO;;
4205;7;1030;321;25;classic;PO003;1030;Risiko;[PO3] fehlende selbständige interne Koordination (Informationsweitergabe) der Fachabteilung;Risikofrage;Projektorganisation;PO;;
4206;7;1031;321;26;classic;PO004;1031;Risiko;[PO4] Wechsel wesentlicher Schlüsselpersonen für die Umsetzung/Verantwortlicher im Projektteam (z. B. Projektleitung, Nutzer, Planer, Auftraggeber, Verantwortungsträger in einzelnen Bereichen z. B. Technik), Know-How-Träger stehen nicht zur Verfügung / Veränderung in den Entscheidungsstrukturen;Risikofrage;Projektorganisation;PO;;
4181;7;996;321;27;classic;PU001;996;Chance;[PU1] Einhaltung aktueller gesetzlicher/betrieblicher Auflagen und Einschränkungen ;Chancenfrage;Projektumfeld;PU;;
4182;7;991;321;28;classic;PU002;991;Risiko;[PU1] Konflikte mit anderen Projekten (nicht nur Bauprojekte) oder mit dem laufenden Betrieb;Risikofrage;Projektumfeld;PU;;
4183;7;992;321;29;classic;PU003;992;Risiko;[PU2] Politisch Einfluss auf das Projekt zu erwarten (bedeutender Projektinhalt);Risikofrage;Projektumfeld;PU;;
4185;7;998;321;30;classic;PU004;998;Chance;[PU3] Verbesserung der interdisziplinären Zusammenarbeit ;Chancenfrage;Projektumfeld;PU;;
4184;7;995;321;31;classic;PU005;995;Risiko;[PU5] Bei Inbetriebnahme keine Kompatibilität der Projektziele mit dem Versorgungsauftrag  (z.B. Betriebsziele, politische Ziele, Umsetzung ÖSG-RSG usw.);Risikofrage;Projektumfeld;PU;;
4186;7;1000;321;32;classic;PU006;1000;Risiko;[PU6] Projektfortschritt bzw. -laufzeiten können nicht eingehalten werden;Risikofrage;Projektumfeld;PU;;
4187;7;1001;321;33;classic;PU007;1001;Risiko;[PU7] keine Realisierungsentscheidung auf Grund fehlender finanzieller Mittel;Risikofrage;Projektumfeld;PU;;
4192;7;1015;321;34;classic;PV001;1015;Risiko;[PV2] Zu eng gesetzter Projektterminplan;Risikofrage;Projektvorgaben;PV;;
4193;7;1018;321;35;classic;PV002;1018;Risiko;[PV5] unzureichende Berücksichtigung der Nutzeranforderungen in der Planung ;Risikofrage;Projektvorgaben;PV;;
4216;6;1051;321;36;classic;SI001;1051;Chance;[SI2] Patienten mit Infektion werden separiert geführt;Chancenfrage;Sicherheit;SI;;
4217;7;1052;321;37;classic;SI002;1052;Chance;[SI3] Steigerung der Sicherheit von Patient: innen, Mitarbeiter: innen und Dritter;Chancenfrage;Sicherheit;SI;;
4218;6;1060;321;38;classic;TE001;1060;Chance;[TE5] Business Continuity in Ableitung von der Unternehmensstrategie zu diesem Thema konzeptionell und in der Projektplanung vorsehen ;Chancenfrage;Technik;TE;;
