"","scenario","type","method1","method2","distance","pValue"
"261","294","IMPACT","classic","weighted",0.3207,0
"262","294","OCCURRENCE","classic","weighted",0.266,2e-04
"263","294","IMPACT","classic","pooling",0.5385,0.7121
"264","294","OCCURRENCE","classic","pooling",0.6,0.6061
"265","294","IMPACT","area","center",0.1524,0.1007
"266","294","OCCURRENCE","area","center",0.1109,0.4096
"267","294","IMPACT","area","centertogrid",0.2487,7e-04
"268","294","OCCURRENCE","area","centertogrid",0.3627,0
"269","294","IMPACT","area","reachedgrid",0.2055,0
"270","294","OCCURRENCE","area","reachedgrid",0.2249,0
"271","294","IMPACT","area","weighted",0.0649,0
"272","294","OCCURRENCE","area","weighted",0.0409,0
"273","294","IMPACT","area","pooling",0.5805,0.8359
"274","294","OCCURRENCE","area","pooling",0.5877,0.8243
"275","294","IMPACT","center","centertogrid",0.2615,0.0164
"276","294","OCCURRENCE","center","centertogrid",0.4154,0
"277","294","IMPACT","center","reachedgrid",0.2564,0.0025
"278","294","OCCURRENCE","center","reachedgrid",0.2776,0.0015
"279","294","IMPACT","center","weighted",0.0929,0.6289
"280","294","OCCURRENCE","center","weighted",0.0964,0.5817
"281","294","IMPACT","center","pooling",0.5231,0.9697
"282","294","OCCURRENCE","center","pooling",0.5077,1
"283","294","IMPACT","centertogrid","reachedgrid",0.0683,0.5923
"284","294","OCCURRENCE","centertogrid","reachedgrid",0.1378,0.1171
"285","294","IMPACT","centertogrid","weighted",0.2284,0.0023
"286","294","OCCURRENCE","centertogrid","weighted",0.3583,0
"287","294","IMPACT","centertogrid","pooling",0.6308,0.6212
"288","294","OCCURRENCE","centertogrid","pooling",0.5077,1
"289","294","IMPACT","reachedgrid","weighted",0.2276,0
"290","294","OCCURRENCE","reachedgrid","weighted",0.2354,0
"291","294","IMPACT","reachedgrid","pooling",0.6718,0.6364
"292","294","OCCURRENCE","reachedgrid","pooling",0.6455,0.6757
"293","294","IMPACT","weighted","pooling",0.5287,0.9426
"294","294","OCCURRENCE","weighted","pooling",0.5504,0.9224
"295","297","IMPACT","classic","area",0.2374,0.001
"296","297","OCCURRENCE","classic","area",0.2901,0
"297","297","IMPACT","classic","center",0.2206,0.0533
"298","297","OCCURRENCE","classic","center",0.2647,0.0087
"299","297","IMPACT","classic","centertogrid",0.0882,0.5599
"300","297","OCCURRENCE","classic","centertogrid",0.1912,0.045
"301","297","IMPACT","classic","reachedgrid",0.1269,0.1182
"302","297","OCCURRENCE","classic","reachedgrid",0.1664,0.0418
"303","297","IMPACT","classic","weighted",0.2048,0.0067
"304","297","OCCURRENCE","classic","weighted",0.2623,2e-04
"305","297","IMPACT","classic","pooling",0.7059,0.3623
"306","297","OCCURRENCE","classic","pooling",0.7206,0.5072
"307","297","IMPACT","area","center",0.1075,0.4183
"308","297","OCCURRENCE","area","center",0.109,0.4035
"309","297","IMPACT","area","centertogrid",0.2877,0
"310","297","OCCURRENCE","area","centertogrid",0.2731,1e-04
"311","297","IMPACT","area","reachedgrid",0.1696,8e-04
"312","297","OCCURRENCE","area","reachedgrid",0.1937,6e-04
"313","297","IMPACT","area","weighted",0.0381,0
"314","297","OCCURRENCE","area","weighted",0.028,0.0022
"315","297","IMPACT","area","pooling",0.7417,0.5166
"316","297","OCCURRENCE","area","pooling",0.5094,0.981
"317","297","IMPACT","center","centertogrid",0.3088,0.0023
"318","297","OCCURRENCE","center","centertogrid",0.2353,0.0363
"319","297","IMPACT","center","reachedgrid",0.1916,0.0362
"320","297","OCCURRENCE","center","reachedgrid",0.197,0.042
"321","297","IMPACT","center","weighted",0.0765,0.8211
"322","297","OCCURRENCE","center","weighted",0.085,0.7091
"323","297","IMPACT","center","pooling",0.6471,0.7246
"324","297","OCCURRENCE","center","pooling",0.5147,0.9855
"325","297","IMPACT","centertogrid","reachedgrid",0.1181,0.1929
"326","297","OCCURRENCE","centertogrid","reachedgrid",0.0794,0.5757
"327","297","IMPACT","centertogrid","weighted",0.2733,1e-04
"328","297","OCCURRENCE","centertogrid","weighted",0.2629,2e-04
"329","297","IMPACT","centertogrid","pooling",0.6176,0.7681
"330","297","OCCURRENCE","centertogrid","pooling",0.5294,0.8406
"331","297","IMPACT","reachedgrid","weighted",0.1845,1e-04
"332","297","OCCURRENCE","reachedgrid","weighted",0.1836,0.0011
"333","297","IMPACT","reachedgrid","pooling",0.7357,0.4539
"334","297","OCCURRENCE","reachedgrid","pooling",0.5586,0.7321
"335","297","IMPACT","weighted","pooling",0.7078,0.6982
"336","297","OCCURRENCE","weighted","pooling",0.5173,0.9518
"337","309","IMPACT","classic","area",0.3864,0
"338","309","OCCURRENCE","classic","area",0.3461,0
"339","309","IMPACT","classic","center",0.3333,4e-04
"340","309","OCCURRENCE","classic","center",0.3333,4e-04
"341","309","IMPACT","classic","centertogrid",0.2319,0.0101
"342","309","OCCURRENCE","classic","centertogrid",0.2099,0.0163
"343","309","IMPACT","classic","reachedgrid",0.2246,0.0173
"344","309","OCCURRENCE","classic","reachedgrid",0.1545,0.0575
"345","309","IMPACT","classic","weighted",0.3559,0
"346","309","OCCURRENCE","classic","weighted",0.337,0
"347","309","IMPACT","classic","pooling",0.7246,0.4429
"348","309","OCCURRENCE","classic","pooling",0.8261,0.2286
"349","309","IMPACT","area","center",0.1425,0.1246
"350","309","OCCURRENCE","area","center",0.0983,0.5269
"351","309","IMPACT","area","centertogrid",0.1958,0.0106
"352","309","OCCURRENCE","area","centertogrid",0.2495,5e-04
"353","309","IMPACT","area","reachedgrid",0.1618,0.001
"354","309","OCCURRENCE","area","reachedgrid",0.1916,6e-04
"355","309","IMPACT","area","weighted",0.0382,0
"356","309","OCCURRENCE","area","weighted",0.0159,0.2014
"357","309","IMPACT","area","pooling",0.656,0.6863
"358","309","OCCURRENCE","area","pooling",0.6401,0.7201
"359","309","IMPACT","center","centertogrid",0.2319,0.0374
"360","309","OCCURRENCE","center","centertogrid",0.309,0.0017
"361","309","IMPACT","center","reachedgrid",0.2246,0.0173
"362","309","OCCURRENCE","center","reachedgrid",0.2487,0.0047
"363","309","IMPACT","center","weighted",0.1045,0.4386
"364","309","OCCURRENCE","center","weighted",0.0842,0.7118
"365","309","IMPACT","center","pooling",0.6087,0.8
"366","309","OCCURRENCE","center","pooling",0.6087,0.8
"367","309","IMPACT","centertogrid","reachedgrid",0.0727,0.9649
"368","309","OCCURRENCE","centertogrid","reachedgrid",0.0604,0.7477
"369","309","IMPACT","centertogrid","weighted",0.1947,0.0107
"370","309","OCCURRENCE","centertogrid","weighted",0.246,5e-04
"371","309","IMPACT","centertogrid","pooling",0.5072,1
"372","309","OCCURRENCE","centertogrid","pooling",0.6765,0.4928
"373","309","IMPACT","reachedgrid","weighted",0.1875,1e-04
"374","309","OCCURRENCE","reachedgrid","weighted",0.1857,8e-04
"375","309","IMPACT","reachedgrid","pooling",0.5,1
"376","309","OCCURRENCE","reachedgrid","pooling",0.7368,0.4348
"377","309","IMPACT","weighted","pooling",0.6257,0.8285
"378","309","OCCURRENCE","weighted","pooling",0.6298,0.8226
"379","317","IMPACT","classic","area",0.2704,1e-04
"380","317","OCCURRENCE","classic","area",0.3229,0
"381","317","IMPACT","classic","center",0.2424,0.0252
"382","317","OCCURRENCE","classic","center",0.2879,0.0041
"383","317","IMPACT","classic","centertogrid",0.0758,0.7159
"384","317","OCCURRENCE","classic","centertogrid",0.1583,0.0829
"385","317","IMPACT","classic","reachedgrid",0.0828,0.4138
"386","317","OCCURRENCE","classic","reachedgrid",0.1582,0.0487
"387","317","IMPACT","classic","weighted",0.2536,4e-04
"388","317","OCCURRENCE","classic","weighted",0.288,0
"389","317","IMPACT","classic","pooling",0.7424,0.5224
"390","317","OCCURRENCE","classic","pooling",0.7121,0.4478
"391","317","IMPACT","area","center",0.1079,0.4328
"392","317","OCCURRENCE","area","center",0.1138,0.3696
"393","317","IMPACT","area","centertogrid",0.2318,0.0018
"394","317","OCCURRENCE","area","centertogrid",0.3111,0
"395","317","IMPACT","area","reachedgrid",0.1981,0
"396","317","OCCURRENCE","area","reachedgrid",0.1949,5e-04
"397","317","IMPACT","area","weighted",0.045,0
"398","317","OCCURRENCE","area","weighted",0.0357,0
"399","317","IMPACT","area","pooling",0.6161,0.7678
"400","317","OCCURRENCE","area","pooling",0.5329,0.9314
"401","317","IMPACT","center","centertogrid",0.3182,0.0015
"402","317","OCCURRENCE","center","centertogrid",0.3552,3e-04
"403","317","IMPACT","center","reachedgrid",0.2544,0.002
"404","317","OCCURRENCE","center","reachedgrid",0.2483,0.0052
"405","317","IMPACT","center","weighted",0.0961,0.5764
"406","317","OCCURRENCE","center","weighted",0.0886,0.6785
"407","317","IMPACT","center","pooling",0.5455,0.9254
"408","317","OCCURRENCE","center","pooling",0.5152,0.9851
"409","317","IMPACT","centertogrid","reachedgrid",0.0638,0.6428
"410","317","OCCURRENCE","centertogrid","reachedgrid",0.1187,0.2075
"411","317","IMPACT","centertogrid","weighted",0.2221,0.003
"412","317","OCCURRENCE","centertogrid","weighted",0.2964,0
"413","317","IMPACT","centertogrid","pooling",0.6667,0.6716
"414","317","OCCURRENCE","centertogrid","pooling",0.5538,0.697
"415","317","IMPACT","reachedgrid","weighted",0.2417,0
"416","317","OCCURRENCE","reachedgrid","weighted",0.2298,0
"417","317","IMPACT","reachedgrid","pooling",0.7305,0.4014
"418","317","OCCURRENCE","reachedgrid","pooling",0.6726,0.6404
"419","317","IMPACT","weighted","pooling",0.5768,0.8935
"420","317","OCCURRENCE","weighted","pooling",0.502,0.9627
"421","319","IMPACT","classic","area",0.323,0
"422","319","OCCURRENCE","classic","area",0.3284,0
"423","319","IMPACT","classic","center",0.3582,1e-04
"424","319","OCCURRENCE","classic","center",0.3731,0
"425","319","IMPACT","classic","centertogrid",0.1045,0.3387
"426","319","OCCURRENCE","classic","centertogrid",0.194,0.03
"427","319","IMPACT","classic","reachedgrid",0.1787,0.0154
"428","319","OCCURRENCE","classic","reachedgrid",0.175,0.0233
"429","319","IMPACT","classic","weighted",0.3097,0
"430","319","OCCURRENCE","classic","weighted",0.3349,0
"431","319","IMPACT","classic","pooling",0.7612,0.4118
"432","319","OCCURRENCE","classic","pooling",0.806,0.3676
"433","319","IMPACT","area","center",0.1295,0.2162
"434","319","OCCURRENCE","area","center",0.0733,0.87
"435","319","IMPACT","area","centertogrid",0.2185,0.0035
"436","319","OCCURRENCE","area","centertogrid",0.2627,2e-04
"437","319","IMPACT","area","reachedgrid",0.2153,0
"438","319","OCCURRENCE","area","reachedgrid",0.2268,0
"439","319","IMPACT","area","weighted",0.042,0
"440","319","OCCURRENCE","area","weighted",0.01,0.74
"441","319","IMPACT","area","pooling",0.5672,0.8653
"442","319","OCCURRENCE","area","pooling",0.6029,0.7906
"443","319","IMPACT","center","centertogrid",0.2687,0.0103
"444","319","OCCURRENCE","center","centertogrid",0.2836,0.006
"445","319","IMPACT","center","reachedgrid",0.3042,1e-04
"446","319","OCCURRENCE","center","reachedgrid",0.2715,0.0015
"447","319","IMPACT","center","weighted",0.0947,0.5846
"448","319","OCCURRENCE","center","weighted",0.0719,0.8794
"449","319","IMPACT","center","pooling",0.5522,0.9118
"450","319","OCCURRENCE","center","pooling",0.5522,0.8971
"451","319","IMPACT","centertogrid","reachedgrid",0.0981,0.2931
"452","319","OCCURRENCE","centertogrid","reachedgrid",0.1003,0.2822
"453","319","IMPACT","centertogrid","weighted",0.2201,0.003
"454","319","OCCURRENCE","centertogrid","weighted",0.2603,2e-04
"455","319","IMPACT","centertogrid","pooling",0.6716,0.6029
"456","319","OCCURRENCE","centertogrid","pooling",0.6119,0.6324
"457","319","IMPACT","reachedgrid","weighted",0.2556,0
"458","319","OCCURRENCE","reachedgrid","weighted",0.2333,0
"459","319","IMPACT","reachedgrid","pooling",0.7071,0.4397
"460","319","OCCURRENCE","reachedgrid","pooling",0.7043,0.3879
"461","319","IMPACT","weighted","pooling",0.5329,0.939
"462","319","OCCURRENCE","weighted","pooling",0.5942,0.8718
"463","322","IMPACT","classic","area",0.3214,0
"464","322","OCCURRENCE","classic","area",0.3965,0
"465","322","IMPACT","classic","center",0.2836,0.0047
"466","322","OCCURRENCE","classic","center",0.3284,3e-04
"467","322","IMPACT","classic","centertogrid",0.1493,0.14
