"","scenario","type","method1","method2","distance"
"214","293","OCCURRENCE","classic","center",0.2456
"215","293","IMPACT","classic","centertogrid",0.0702
"216","293","OCCURRENCE","classic","centertogrid",0.1579
"217","293","IMPACT","classic","reachedgrid",0.0989
"218","293","OCCURRENCE","classic","reachedgrid",0.1319
"219","293","IMPACT","classic","weighted",0.2412
"220","293","OCCURRENCE","classic","weighted",0.2674
"221","293","IMPACT","classic","pooling",0.7368
"222","293","OCCURRENCE","classic","pooling",0.7368
"223","293","IMPACT","area","center",0.1529
"224","293","OCCURRENCE","area","center",0.0852
"225","293","IMPACT","area","centertogrid",0.2501
"226","293","OCCURRENCE","area","centertogrid",0.2852
"227","293","IMPACT","area","reachedgrid",0.2044
"228","293","OCCURRENCE","area","reachedgrid",0.1817
"229","293","IMPACT","area","weighted",0.0478
"230","293","OCCURRENCE","area","weighted",0.0254
"231","293","IMPACT","area","pooling",0.6101
"232","293","OCCURRENCE","area","pooling",0.5672
"233","293","IMPACT","center","centertogrid",0.2456
"234","293","OCCURRENCE","center","centertogrid",0.3158
"235","293","IMPACT","center","reachedgrid",0.2054
"236","293","OCCURRENCE","center","reachedgrid",0.2123
"237","293","IMPACT","center","weighted",0.106
"238","293","OCCURRENCE","center","weighted",0.0645
"239","293","IMPACT","center","pooling",0.5439
"240","293","OCCURRENCE","center","pooling",0.5263
"241","293","IMPACT","centertogrid","reachedgrid",0.0767
"242","293","OCCURRENCE","centertogrid","reachedgrid",0.1035
"243","293","IMPACT","centertogrid","weighted",0.2311
"244","293","OCCURRENCE","centertogrid","weighted",0.2776
"245","293","IMPACT","centertogrid","pooling",0.6667
"246","293","OCCURRENCE","centertogrid","pooling",0.5965
"247","293","IMPACT","reachedgrid","weighted",0.1983
"248","293","OCCURRENCE","reachedgrid","weighted",0.2011
"249","293","IMPACT","reachedgrid","pooling",0.7069
"250","293","OCCURRENCE","reachedgrid","pooling",0.7
"251","293","IMPACT","weighted","pooling",0.5682
"252","293","OCCURRENCE","weighted","pooling",0.5432
"253","294","IMPACT","classic","area",0.3387
"254","294","OCCURRENCE","classic","area",0.2703
"255","294","IMPACT","classic","center",0.3538
"256","294","OCCURRENCE","classic","center",0.3231
"257","294","IMPACT","classic","centertogrid",0.0923
"258","294","OCCURRENCE","classic","centertogrid",0.1077
"259","294","IMPACT","classic","reachedgrid",0.1333
"260","294","OCCURRENCE","classic","reachedgrid",0.1538
"261","294","IMPACT","classic","weighted",0.3211
"262","294","OCCURRENCE","classic","weighted",0.266
"263","294","IMPACT","classic","pooling",0.5385
"264","294","OCCURRENCE","classic","pooling",0.6
"265","294","IMPACT","area","center",0.1524
"266","294","OCCURRENCE","area","center",0.1109
"267","294","IMPACT","area","centertogrid",0.2487
"268","294","OCCURRENCE","area","centertogrid",0.3627
"269","294","IMPACT","area","reachedgrid",0.2055
"270","294","OCCURRENCE","area","reachedgrid",0.2249
"271","294","IMPACT","area","weighted",0.0648
