"","scenario","type","method1","method2","distance","pValue"
"436","291","OCCURRENCE","area","centertogrid",0.1619,0.0514
"437","291","IMPACT","area","reachedgrid",0.1704,8e-04
"438","291","OCCURRENCE","area","reachedgrid",0.1449,0.0187
"439","291","IMPACT","area","weighted",0.0324,0
"440","291","OCCURRENCE","area","weighted",0.011,0.6515
"441","291","IMPACT","area","pooling",0.5921,0
"442","291","OCCURRENCE","area","pooling",0.7402,0
"443","291","IMPACT","center","centertogrid",0.2535,0.0155
"444","291","OCCURRENCE","center","centertogrid",0.1549,0.3047
"445","291","IMPACT","center","reachedgrid",0.2671,9e-04
"446","291","OCCURRENCE","center","reachedgrid",0.1481,0.1954
"447","291","IMPACT","center","weighted",0.0688,0.8895
"448","291","OCCURRENCE","center","weighted",0.0574,0.9733
"449","291","IMPACT","center","pooling",0.5211,0
"450","291","OCCURRENCE","center","pooling",0.7465,0
"451","291","IMPACT","centertogrid","reachedgrid",0.0558,0.7582
"452","291","OCCURRENCE","centertogrid","reachedgrid",0.0355,0.9561
"453","291","IMPACT","centertogrid","weighted",0.2158,0.0027
"454","291","OCCURRENCE","centertogrid","weighted",0.1531,0.0718
"455","291","IMPACT","centertogrid","pooling",0.6761,0
"456","291","OCCURRENCE","centertogrid","pooling",0.831,0
"457","291","IMPACT","reachedgrid","weighted",0.1983,0
"458","291","OCCURRENCE","reachedgrid","weighted",0.1476,0.0139
"459","291","IMPACT","reachedgrid","pooling",0.7319,0
"460","291","OCCURRENCE","reachedgrid","pooling",0.8246,0
"461","291","IMPACT","weighted","pooling",0.56,0
"462","291","OCCURRENCE","weighted","pooling",0.7423,0
"463","292","IMPACT","classic","area",0.2411,6e-04
"464","292","OCCURRENCE","classic","area",0.4133,0
"465","292","IMPACT","classic","center",0.3286,6e-04
"466","292","OCCURRENCE","classic","center",0.4,0
"467","292","IMPACT","classic","centertogrid",0.1058,0.2962
"468","292","OCCURRENCE","classic","centertogrid",0.3366,1e-04
"469","292","IMPACT","classic","reachedgrid",0.0469,0.9999
"470","292","OCCURRENCE","classic","reachedgrid",0.2831,1e-04
"471","292","IMPACT","classic","weighted",0.2946,0
"472","292","OCCURRENCE","classic","weighted",0.4034,0
"473","292","IMPACT","classic","pooling",0.7,0
"474","292","OCCURRENCE","classic","pooling",0.7571,0
"475","292","IMPACT","area","center",0.1389,0.1377
"476","292","OCCURRENCE","area","center",0.0673,0.913
"477","292","IMPACT","area","centertogrid",0.2828,0
"478","292","OCCURRENCE","area","centertogrid",0.2164,0.0034
