"","scenario","type","method1","method2","distance"
"263","287","IMPACT","classic","pooling",0.6061
"264","287","OCCURRENCE","classic","pooling",0.6667
"265","287","IMPACT","area","center",0.1565
"266","287","OCCURRENCE","area","center",0.1412
"267","287","IMPACT","area","centertogrid",0.3311
"268","287","OCCURRENCE","area","centertogrid",0.3121
"269","287","IMPACT","area","reachedgrid",0.2031
"270","287","OCCURRENCE","area","reachedgrid",0.1894
"271","287","IMPACT","area","weighted",0.071
"272","287","OCCURRENCE","area","weighted",0.0608
"273","287","IMPACT","area","pooling",0.5099
"274","287","OCCURRENCE","area","pooling",0.6919
"275","287","IMPACT","center","centertogrid",0.3636
"276","287","OCCURRENCE","center","centertogrid",0.3548
"277","287","IMPACT","center","reachedgrid",0.2752
"278","287","OCCURRENCE","center","reachedgrid",0.2528
"279","287","IMPACT","center","weighted",0.1217
"280","287","OCCURRENCE","center","weighted",0.1007
"281","287","IMPACT","center","pooling",0.6061
"282","287","OCCURRENCE","center","pooling",0.5758
"283","287","IMPACT","centertogrid","reachedgrid",0.154
"284","287","OCCURRENCE","centertogrid","reachedgrid",0.1227
"285","287","IMPACT","centertogrid","weighted",0.3005
"286","287","OCCURRENCE","centertogrid","weighted",0.2986
"287","287","IMPACT","centertogrid","pooling",0.5152
"288","287","OCCURRENCE","centertogrid","pooling",0.5846
"289","287","IMPACT","reachedgrid","weighted",0.2735
"290","287","OCCURRENCE","reachedgrid","weighted",0.1874
"291","287","IMPACT","reachedgrid","pooling",0.6691
"292","287","OCCURRENCE","reachedgrid","pooling",0.7073
"293","287","IMPACT","weighted","pooling",0.5808
"294","287","OCCURRENCE","weighted","pooling",0.6403
"295","288","IMPACT","classic","area",0.2623
"296","288","OCCURRENCE","classic","area",0.3185
"297","288","IMPACT","classic","center",0.3182
"298","288","OCCURRENCE","classic","center",0.2879
"299","288","IMPACT","classic","centertogrid",0.1667
"300","288","OCCURRENCE","classic","centertogrid",0.1667
"301","288","IMPACT","classic","reachedgrid",0.1168
"302","288","OCCURRENCE","classic","reachedgrid",0.1938
"303","288","IMPACT","classic","weighted",0.283
"304","288","OCCURRENCE","classic","weighted",0.3152
"305","288","IMPACT","classic","pooling",0.5455
"306","288","OCCURRENCE","classic","pooling",0.5758
"307","288","IMPACT","area","center",0.1108
"308","288","OCCURRENCE","area","center",0.0805
"309","288","IMPACT","area","centertogrid",0.1885
"310","288","OCCURRENCE","area","centertogrid",0.1973
"311","288","IMPACT","area","reachedgrid",0.1693
"312","288","OCCURRENCE","area","reachedgrid",0.1438
"313","288","IMPACT","area","weighted",0.0296
"314","288","OCCURRENCE","area","weighted",0.0066
"315","288","IMPACT","area","pooling",0.5006
"316","288","OCCURRENCE","area","pooling",0.6295
"317","288","IMPACT","center","centertogrid",0.2273
"318","288","OCCURRENCE","center","centertogrid",0.1667
"319","288","IMPACT","center","reachedgrid",0.2465
"320","288","OCCURRENCE","center","reachedgrid",0.1795
"321","288","IMPACT","center","weighted",0.0819
"322","288","OCCURRENCE","center","weighted",0.0751
"323","288","IMPACT","center","pooling",0.5303
"324","288","OCCURRENCE","center","pooling",0.5909
"325","288","IMPACT","centertogrid","reachedgrid",0.0498
"326","288","OCCURRENCE","centertogrid","reachedgrid",0.0726
"327","288","IMPACT","centertogrid","weighted",0.1677
"328","288","OCCURRENCE","centertogrid","weighted",0.194
"329","288","IMPACT","centertogrid","pooling",0.5303
"330","288","OCCURRENCE","centertogrid","pooling",0.5909
"331","288","IMPACT","reachedgrid","weighted",0.1726
"332","288","OCCURRENCE","reachedgrid","weighted",0.147
"333","288","IMPACT","reachedgrid","pooling",0.5111
"334","288","OCCURRENCE","reachedgrid","pooling",0.6038
"335","288","IMPACT","weighted","pooling",0.5253
"336","288","OCCURRENCE","weighted","pooling",0.625
"337","289","IMPACT","classic","area",0.2421
"338","289","OCCURRENCE","classic","area",0.2594
"339","289","IMPACT","classic","center",0.2206
