""	"ACC2SURV_ACCID"	"ANS2SURV_ID"	"IMPACT"	"OCCURRENCE"	"X1PCT"	"Y1PCT"	"X2PCT"	"Y2PCT"	"QUES2SURV_QUESID"	"QUES2SURV_METHOD"	"X1Pixel"	"X2Pixel"	"Y1Pixel"	"Y2Pixel"	"ClassicGrid"	"getlowx"	"gethighx"	"getlowy"	"gethighy"	"hitOcc"	"hitImp"
"53"	346	139341	3	5	"35.25"	"48.25"	"44"	"51.25"	282	"classic"	141	176	193	205	"Grid44"	2	3	3	3	FALSE	TRUE
"54"	346	139342	2	3	"35,25"	"48,25"	"44"	"51,25"	282	"graphic"	NA	NA	NA	NA	"Grid44"	NA	NA	NA	NA	NA	NA
"55"	346	139343	2	3	"50"	"46.5"	"54"	"50.75"	283	"classic"	200	216	186	203	"Grid44"	3	3	3	3	TRUE	FALSE
"56"	346	139344	3	3	"50"	"46,5"	"54"	"50,75"	283	"graphic"	NA	NA	NA	NA	"Grid44"	NA	NA	NA	NA	NA	NA
"57"	346	139345	NA	NA	""	""	""	""	284	"classic"	NA	NA	NA	NA	"Grid44"	NA	NA	NA	NA	NA	NA
"58"	346	139346	NA	NA	""	""	""	""	284	"graphic"	NA	NA	NA	NA	"Grid44"	NA	NA	NA	NA	NA	NA
"59"	346	139347	3	3	"54.5"	"37.25"	"60"	"41.25"	285	"classic"	218	240	149	165	"Grid44"	3	4	3	4	TRUE	TRUE
"60"	346	139348	3	2	"54,5"	"37,25"	"60"	"41,25"	285	"graphic"	NA	NA	NA	NA	"Grid44"	NA	NA	NA	NA	NA	NA
"61"	346	139349	3	3	"76.75"	"82.5"	"84.75"	"87"	286	"classic"	307	339	330	348	"Grid44"	4	5	1	1	FALSE	FALSE
"62"	346	139350	5	5	"76,75"	"82,5"	"84,75"	"87"	286	"graphic"	NA	NA	NA	NA	"Grid44"	NA	NA	NA	NA	NA	NA
"63"	346	139351	NA	NA	""	""	""	""	287	"classic"	NA	NA	NA	NA	"Grid44"	NA	NA	NA	NA	NA	NA
"64"	346	139352	NA	NA	""	""	""	""	287	"graphic"	NA	NA	NA	NA	"Grid44"	NA	NA	NA	NA	NA	NA
"65"	346	139353	NA	NA	""	""	""	""	288	"classic"	NA	NA	NA	NA	"Grid44"	NA	NA	NA	NA	NA	NA
"66"	346	139354	NA	NA	""	""	""	""	288	"graphic"	NA	NA	NA	NA	"Grid44"	NA	NA	NA	NA	NA	NA
"67"	346	139355	NA	NA	""	""	""	""	289	"classic"	NA	NA	NA	NA	"Grid44"	NA	NA	NA	NA	NA	NA
"68"	346	139356	NA	NA	""	""	""	""	289	"graphic"	NA	NA	NA	NA	"Grid44"	NA	NA	NA	NA	NA	NA
"69"	346	139357	NA	NA	""	""	""	""	290	"classic"	NA	NA	NA	NA	"Grid44"	NA	NA	NA	NA	NA	NA
"70"	346	139358	NA	NA	""	""	""	""	290	"graphic"	NA	NA	NA	NA	"Grid44"	NA	NA	NA	NA	NA	NA
"71"	346	139359	NA	NA	""	""	""	""	291	"classic"	NA	NA	NA	NA	"Grid44"	NA	NA	NA	NA	NA	NA
"72"	346	139360	NA	NA	""	""	""	""	291	"graphic"	NA	NA	NA	NA	"Grid44"	NA	NA	NA	NA	NA	NA
"73"	346	139361	NA	NA	""	""	""	""	292	"classic"	NA	NA	NA	NA	"Grid44"	NA	NA	NA	NA	NA	NA
"74"	346	139362	NA	NA	""	""	""	""	292	"graphic"	NA	NA	NA	NA	"Grid44"	NA	NA	NA	NA	NA	NA
"75"	346	139363	NA	NA	""	""	""	""	293	"classic"	NA	NA	NA	NA	"Grid44"	NA	NA	NA	NA	NA	NA
"76"	346	139364	NA	NA	""	""	""	""	293	"graphic"	NA	NA	NA	NA	"Grid44"	NA	NA	NA	NA	NA	NA
"77"	346	139365	NA	NA	""	""	""	""	294	"classic"	NA	NA	NA	NA	"Grid44"	NA	NA	NA	NA	NA	NA
"78"	346	139366	NA	NA	""	""	""	""	294	"graphic"	NA	NA	NA	NA	"Grid44"	NA	NA	NA	NA	NA	NA
"79"	346	139367	3	4	"46.25"	"51.25"	"58.25"	"54.75"	295	"classic"	185	233	205	219	"Grid44"	3	3	3	3	FALSE	TRUE
"80"	346	139368	3	3	"46,25"	"51,25"	"58,25"	"54,75"	295	"graphic"	NA	NA	NA	NA	"Grid44"	NA	NA	NA	NA	NA	NA
"81"	346	139369	3	3	"46.25"	"50.25"	"55.75"	"54"	296	"classic"	185	223	201	216	"Grid44"	3	3	3	3	TRUE	TRUE
"82"	346	139370	3	3	"46,25"	"50,25"	"55,75"	"54"	296	"graphic"	NA	NA	NA	NA	"Grid44"	NA	NA	NA	NA	NA	NA
"83"	346	139371	NA	NA	""	""	""	""	320	"classic"	NA	NA	NA	NA	"Grid44"	NA	NA	NA	NA	NA	NA
"84"	346	139372	NA	NA	""	""	""	""	320	"graphic"	NA	NA	NA	NA	"Grid44"	NA	NA	NA	NA	NA	NA
"85"	346	139373	3	4	"59.25"	"23.5"	"64"	"26.25"	321	"classic"	237	256	94	105	"Grid44"	3	4	4	4	TRUE	FALSE
"86"	346	139374	4	2	"59,25"	"23,5"	"64"	"26,25"	321	"graphic"	NA	NA	NA	NA	"Grid44"	NA	NA	NA	NA	NA	NA
