BenutzerID;Typ;QuesID;Method;Answered;Sort;Impact;Occurrence;X1pct;Y1pct;X2pct;Y2pct;Duration
527;Risiko;358;graphic;ja;15;;;12,5;47;86;58;15
527;Risiko;359;graphic;ja;16;;;15;22;88,5;31,5;27
527;Risiko;360;graphic;nein;17;;;;;;;12
527;Risiko;361;graphic;ja;18;;;41,25;45,5;78,25;58,5;19
527;Risiko;362;graphic;nein;19;;;;;;;10
527;Risiko;363;graphic;ja;20;;;42;23,75;87;36;17
527;Chance;364;graphic;ja;21;;;47,5;9,75;90;25,5;29
905;Risiko;344;classic;ja;1;4;4;;;;;106
905;Risiko;345;classic;ja;2;3;3;;;;;22
905;Chance;346;classic;ja;3;4;5;;;;;58
905;Risiko;347;classic;ja;4;3;3;;;;;25
905;Risiko;348;classic;ja;5;3;3;;;;;26
905;Risiko;349;classic;ja;6;3;4;;;;;7
905;Risiko;350;classic;ja;7;3;4;;;;;8
905;Risiko;351;classic;ja;8;3;4;;;;;11
905;Risiko;352;classic;ja;9;3;4;;;;;9
905;Risiko;353;classic;ja;10;3;3;;;;;10
905;Risiko;354;classic;ja;11;2;4;;;;;17
905;Risiko;355;classic;ja;12;4;3;;;;;25
905;Risiko;356;classic;ja;13;3;4;;;;;9
905;Risiko;357;classic;ja;14;3;4;;;;;12
905;Risiko;358;classic;ja;15;4;3;;;;;16
905;Risiko;359;classic;ja;16;5;2;;;;;20
905;Risiko;360;classic;ja;17;4;3;;;;;19
905;Risiko;361;classic;ja;18;3;3;;;;;44
905;Risiko;362;classic;ja;19;4;3;;;;;27
905;Risiko;363;classic;ja;20;4;2;;;;;40
905;Chance;364;classic;nein;21;;;;;;;481
905;Risiko;365;classic;ja;22;3;2;;;;;138
905;Chance;366;classic;ja;23;3;3;;;;;64
905;Chance;297;classic;ja;24;4;3;;;;;120
905;Risiko;298;classic;nein;25;;;;;;;20
905;Risiko;281;classic;ja;26;3;2;;;;;16
905;Risiko;282;classic;ja;27;4;3;;;;;18
905;Risiko;283;classic;ja;28;4;3;;;;;17
905;Risiko;284;classic;ja;29;4;4;;;;;9
