QUES2SURV_ID;COUNTANS;QUES2SURV_QUESID;QUES2SURV_SURVID;QUES2SURV_SORT;QUES2SURV_METHOD;QUES2SURV_KBID;QUES_ID;QUES_TYP;QUES_TEXT;QUES_HEADLINE;QUES_CATEGORY;QUES_TOPIC;QUES_CAUSE;QUES_EFFECT
3855;11;796;281;65;classic;PF007;796;Risiko;Imageschaden durch Qualitätsverlust;Risikofrage;Projektfolgen;PF;;
3861;11;802;281;66;classic;PF008;802;Risiko;keine ausreichende Berücksichtigung der Schnittstellen zwischen Projekt und laufendem Betrieb (technisch);Risikofrage;Projektfolgen;PF;;
3860;11;801;281;67;classic;PF009;801;Risiko;keine ausreichende Berücksichtigung von Kapazitäten, Zeit, Kosten in der Planung der Übersiedelung;Risikofrage;Projektfolgen;PF;;
3859;11;800;281;68;classic;PF010;800;Risiko;keine Berücksichtung der Veränderung der medizinischen Standards von der Planung bis zur Fertigstellung (ca. 6 Jahre);Risikofrage;Projektfolgen;PF;;
3862;11;803;281;69;classic;PF011;803;Risiko;Neu-Bewilligungen werden notwendig;Risikofrage;Projektfolgen;PF;;
3853;11;794;281;70;classic;PF012;794;Risiko;Organisatorische Veränderungen einschneidend;Risikofrage;Projektfolgen;PF;;
3854;11;795;281;71;classic;PF013;795;Risiko;Personelle Veränderungen groß;Risikofrage;Projektfolgen;PF;;
3856;11;797;281;72;classic;PF014;797;Risiko;Raumplanung nicht am Betriebsbedarf ausgerichtet;Risikofrage;Projektfolgen;PF;;
3852;11;793;281;73;classic;PF015;793;Risiko;Schulungs- und Einführungsaufwand groß (vor der Inbetriebnahme);Risikofrage;Projektfolgen;PF;;
3851;11;792;281;74;classic;PF016;792;Risiko;Unerfüllbare Erwartungshaltung an Auftragnehmer;Risikofrage;Projektfolgen;PF;;
3858;11;799;281;75;classic;PF017;799;Risiko;zusätzlicher Betrieb leer stehender Gebäude;Risikofrage;Projektfolgen;PF;;
3841;11;763;281;76;classic;PO001;763;Risiko;fehlende selbständige interne Koordination der Fachabteilung;Risikofrage;Projektorganisation;PO;;
3840;11;762;281;77;classic;PO002;762;Risiko;keine ausreichende Berücksichtigung/Koordination der vielen Beteiligten und/oder Schnittstellen;Risikofrage;Projektorganisation;PO;;
3843;11;761;281;78;classic;PO003;761;Risiko;keine Integration QMS und RMS;Risikofrage;Projektorganisation;PO;;
3846;11;758;281;79;classic;PO004;758;Risiko;Langwierige Entscheidungsfindung;Risikofrage;Projektorganisation;PO;;
3845;11;759;281;80;classic;PO005;759;Risiko;Nichtbeachtung von QM-Standards bzw. mangelnde Integration der QM-Systeme;Risikofrage;Projektorganisation;PO;;
3847;11;757;281;81;classic;PO006;757;Risiko;Projektorganisation (Mitglied) nicht/unzureichend über das Projekt informiert;Risikofrage;Projektorganisation;PO;;
3844;11;760;281;82;classic;PO007;760;Risiko;unzureichende Kompetenz und Erfahrung des Projektleiter, Krankenhaushygienikers usw.;Risikofrage;Projektorganisation;PO;;
3842;11;764;281;83;classic;PO008;764;Risiko;Wechsel wesentlicher Schlüsselpersonen für die Umsetzung/Verantwortlicher im Projektteam (z. B. Projektleitung, Nutzer, Planer, Auftraggeber, Verantwortungsträger in einzelnen Bereichen z. B. Technik), Know-How-Träger stehen nicht zur Verfügung / Veränderung in den Entscheidungsstrukturen;Risikofrage;Projektorganisation;PO;;
3827;9;684;281;84;classic;PU001;684;Risiko;Auswirkung auf die Konsolidierungsbestrebungen;Risikofrage;Projektumfeld;PU;;
3839;10;842;281;85;classic;PU002;842;Chance;Einhaltung sicherheits- und gesundheitspolitischer Auflagen und Einschränkungen (ÖSG-RSG);Chancenfrage;Projektumfeld;PU;;
3836;7;845;281;86;classic;PU003;845;Chance;Integration der Pädaudiometrie in die HNO bzw. Kopfzentrum;Chancenfrage;Projektumfeld;PU;;
3833;10;690;281;87;classic;PU004;690;Risiko;keine Genehmigung ausreichender finanzieller Mittel;Risikofrage;Projektumfeld;PU;;
3830;10;687;281;88;classic;PU005;687;Risiko;keine Kompatibilität der Projektziele mit dem Versorgungsauftrag  (z. B. Betriebsziele, politische Ziele, Umsetzung ÖSG-RSG usw.);Risikofrage;Projektumfeld;PU;;
3832;9;689;281;89;classic;PU006;689;Risiko;keine Synchronisierung mit dem Masterplan 2030;Risikofrage;Projektumfeld;PU;;
3835;10;683;281;90;classic;PU007;683;Risiko;Konflikte mit anderen Projekten (nicht nur Bauprojekte) oder mit dem laufenden Betrieb;Risikofrage;Projektumfeld;PU;;
3826;9;846;281;91;classic;PU008;846;Chance;Neubau;Chancenfrage;Projektumfeld;PU;;
3828;10;685;281;92;classic;PU009;685;Risiko;Politisch bedeutender Projektinhalt;Risikofrage;Projektumfeld;PU;;
3831;10;688;281;93;classic;PU010;688;Risiko;Projektfortschritt bzw. -laufzeiten können nicht eingehalten werden;Risikofrage;Projektumfeld;PU;;
3825;10;682;281;94;classic;PU011;682;Risiko;Projektinhalt nicht mit medizinischer Leistungsplanung (BO-Planung) kompatibel;Risikofrage;Projektumfeld;PU;;
3834;10;691;281;95;classic;PU012;691;Risiko;Terminkollisionen;Risikofrage;Projektumfeld;PU;;
3837;10;844;281;96;classic;PU013;844;Chance;Verbesserung der interdiszipilinären Zusammenarbeit;Chancenfrage;Projektumfeld;PU;;
3838;9;843;281;97;classic;PU014;843;Chance;Verbesserung der Positionierung am Arbeitsmarkt;Chancenfrage;Projektumfeld;PU;;
3829;10;686;281;98;classic;PU015;686;Risiko;Widerstand und Einfluss von außen (interne Organisationseinheiten, Anrainer …);Risikofrage;Projektumfeld;PU;;
3824;9;739;281;99;classic;PV001;739;Risiko;Baufeld im zentralen Krankenhausumfeld;Risikofrage;Projektvorgaben;PV;;
3813;10;728;281;100;classic;PV002;728;Risiko;Enger Kostenrahmen, keine vollständige finanzielle Deckung vorhanden;Risikofrage;Projektvorgaben;PV;;
3814;10;729;281;101;classic;PV003;729;Risiko;Enger Terminplan;Risikofrage;Projektvorgaben;PV;;
3822;10;737;281;102;classic;PV004;737;Risiko;keine ausreichend klare Formulierung der Projektziele;Risikofrage;Projektvorgaben;PV;;
3823;10;738;281;103;classic;PV005;738;Risiko;keine ausreichende Berücksichtigung der Nutzeranforderungen in der Planung;Risikofrage;Projektvorgaben;PV;;
3819;10;734;281;104;classic;PV006;734;Risiko;keine Identifikation der Schlüsselpositionen mit dem Projekt und den damit in Verbindung stehenden Zielen;Risikofrage;Projektvorgaben;PV;;
3821;10;736;281;105;classic;PV007;736;Risiko;keine Kompatibilität der Projektziele mit den Abteilungszielen/Nutzer;Risikofrage;Projektvorgaben;PV;;
3812;10;727;281;106;classic;PV008;727;Risiko;Nutzer-, Betreiber- und Herstellverantwortung ungenügend definiert;Risikofrage;Projektvorgaben;PV;;
3811;10;726;281;107;classic;PV009;726;Risiko;Nutzeranforderungen zu wenig klar bestimmt;Risikofrage;Projektvorgaben;PV;;
3820;10;735;281;108;classic;PV010;735;Risiko;Planungsfehler (z. B. Vorhabensbudget, Investitionsprogramm, Betriebsbudget, Folgekosten usw.);Risikofrage;Projektvorgaben;PV;;
3816;10;731;281;109;classic;PV011;731;Risiko;Projektänderungen mit Unternehmensziel oder Projektziel nicht kompatibel;Risikofrage;Projektvorgaben;PV;;
3810;10;725;281;110;classic;PV012;725;Risiko;Projektanforderungen ungenügend definiert/kommuniziert;Risikofrage;Projektvorgaben;PV;;
3818;10;733;281;111;classic;PV013;733;Risiko;Projektinhalt nicht klar abgegrenzt;Risikofrage;Projektvorgaben;PV;;
3817;10;732;281;112;classic;PV014;732;Risiko;Projektvorgaben mit den besonderen Bestimmungen (z.B. Sozialversicherungsträger, Umweltbestimmungen uvm.) nicht kompatibel;Risikofrage;Projektvorgaben;PV;;
3815;9;730;281;113;classic;PV015;730;Risiko;Projektziele (Projektgrenzen …) mit Unternehmensziel nicht kompatibel;Risikofrage;Projektvorgaben;PV;;
3809;10;724;281;114;classic;PV016;724;Risiko;Projektziele zu wenig klar festgelegt oder nachträglich geändert;Risikofrage;Projektvorgaben;PV;;
