"","scenario","type","group","method","impact_Median","impact_StandardDeviation","impact_Mean","impact_FirstQuartile","impact_ThirdQuartile","impact_InterquartileRange","impact_Minimum","impact_Maximum","impact_Range","occurrence_Median","occurrence_StandardDeviation","occurrence_Mean","occurrence_FirstQuartile","occurrence_ThirdQuartile","occurrence_InterquartileRange","occurrence_Minimum","occurrence_Maximum","occurrence_Range"
"437","343","Risiko","all","graphic center",58.62,19.29,56.4,45.5,70,24.5,10.12,91.5,81.38,63.62,17.76,62,49,75.88,26.88,24.62,95.12,70.5
"438","343","Risiko","all","graphic grid reached",50,22.43,55.33,35,70,35,10,90,80,70,21.69,60.95,50,70,20,10,90,80
"439","343","Risiko","all","graphic areas",56.25,21.41,54.55,39,70,31,1.25,100,98.75,62,19.96,60.79,47.5,76.5,29,1.25,100,98.75
"440","343","Risiko","all","weighted",57.5,20.7,56.1,41.25,71,29.75,1.25,100,98.75,62.75,19,62.07,48.75,77.25,28.5,1.25,100,98.75
"441","343","Risiko","all","pooling ",62.06,0.21,62.06,61.92,62.2,0.28,61.44,62.69,1.25,65.28,0.18,65.28,65.16,65.4,0.24,64.75,65.82,1.07
"442","344","Risiko","all","classic",50,16.28,58.99,50,70,20,10,90,80,50,17.65,58.7,50,70,20,10,90,80
"443","344","Risiko","all","graphic center to grid",70,20.47,60.14,50,70,20,10,90,80,50,23.5,53.48,30,70,40,10,90,80
"444","344","Risiko","all","graphic center",61.75,18.49,59.11,45.5,72.38,26.88,9,90.88,81.88,53.62,23.03,53.55,34.88,70.75,35.88,6.62,95.75,89.12
"445","344","Risiko","all","graphic grid reached",50,22.88,56.76,50,70,20,10,90,80,50,24.49,53.76,30,70,40,10,90,80
"446","344","Risiko","all","graphic areas",58.75,21.1,56.81,42.25,72.75,30.5,0,99.5,99.5,56,23.21,53.68,36.38,71.75,35.38,0.5,99.25,98.75
"447","344","Risiko","all","weighted",61.25,20.09,58.74,45.25,73.75,28.5,0,99.5,99.5,56,23.21,53.93,36.75,72,35.25,0.5,99.25,98.75
"448","344","Risiko","all","pooling ",36.86,0.08,36.86,36.81,36.92,0.11,36.62,37.11,0.49,50.9,0.18,50.9,50.79,51.02,0.24,50.38,51.43,1.05
"449","345","Risiko","all","classic",50,15.62,56.76,50,70,20,10,90,80,70,15.38,62.7,50,70,20,30,90,60
"450","345","Risiko","all","graphic center to grid",50,21.13,55.95,50,70,20,10,90,80,70,21.82,58.22,50,70,20,10,90,80
"451","345","Risiko","all","graphic center",54.44,19.76,55.65,43.62,71.19,27.56,8.5,93,84.5,60,21.56,57.24,44.22,73.97,29.75,9.62,94.38,84.75
"452","345","Risiko","all","graphic grid reached",50,22.92,55.58,35,70,35,10,90,80,50,23.22,57.03,50,70,20,10,90,80
"453","345","Risiko","all","graphic areas",53.75,21.4,53.77,39.5,69.75,30.25,0.25,100,99.75,54.5,23.29,53.24,35.75,72.5,36.75,0,100,100
"454","345","Risiko","all","weighted",54.25,20.5,54.67,41.25,70,28.75,0.25,100,99.75,56.25,22.64,54.8,38.75,73.25,34.5,0,100,100
"455","345","Risiko","all","pooling ",54.49,0.18,54.49,54.37,54.62,0.25,53.94,55.05,1.11,67.56,0.17,67.56,67.45,67.67,0.22,67.06,68.06,0.99
"456","346","Chance","all","classic",90,16.54,76.76,70,90,20,10,90,80,70,19.06,63.52,50,70,20,10,90,80
"457","346","Chance","all","graphic center to grid",90,17.16,76.48,70,90,20,30,90,60,70,22.77,60.57,50,70,20,10,90,80
"458","346","Chance","all","graphic center",82.12,16.19,75.68,65.81,87.06,21.25,22,98.62,76.62,60.5,21.55,60.18,49.5,79.25,29.75,6.75,89.62,82.88
"459","346","Chance","all","graphic grid reached",70,19.96,71.19,70,90,20,10,90,80,70,23.47,58.96,50,70,20,10,90,80
"460","346","Chance","all","graphic areas",76.5,20.24,71.25,59.75,86.75,27,0.5,100,99.5,59.5,23.69,57.62,42,77.25,35.25,0.25,100,99.75
"461","346","Chance","all","weighted",79,17.56,74.43,64.75,87.75,23,0.5,100,99.5,60.75,23.24,58.89,44.5,78,33.5,0.25,100,99.75
"462","346","Chance","all","pooling ",91.62,0.17,91.62,91.51,91.73,0.22,91.13,92.12,0.99,64.39,0.2,64.39,64.25,64.52,0.27,63.79,64.99,1.2
"463","347","Risiko","all","classic",50,16.32,55.41,50,70,20,10,90,80,70,18.41,58.11,50,70,20,10,90,80
"464","347","Risiko","all","graphic center to grid",50,20.19,59.19,50,70,20,10,90,80,50,21.73,55.75,50,70,20,10,90,80
"465","347","Risiko","all","graphic center",56.81,19.75,58.25,45.53,74.44,28.91,10.88,93.38,82.5,53.75,20.78,55.48,43.91,69.75,25.84,8.38,94.25,85.88
"466","347","Risiko","all","graphic grid reached",50,22.31,56.08,35,70,35,10,90,80,50,22.04,56.14,50,70,20,10,90,80
"467","347","Risiko","all","graphic areas",57.75,21.19,56.92,42,73,31,0,100,100,55,21.83,54.63,41.5,71,29.5,0.75,99.25,98.5
"468","347","Risiko","all","weighted",59,20.52,58.05,43.25,73.75,30.5,0,100,100,55,21.48,55.22,42.75,71.25,28.5,0.75,99.25,98.5
"469","347","Risiko","all","pooling ",54.27,0.24,54.27,54.11,54.44,0.33,53.55,55,1.45,57.73,0.19,57.73,57.6,57.86,0.26,57.16,58.3,1.14
"470","348","Risiko","all","classic",50,16.65,55.41,50,70,20,10,90,80,50,18.88,55.68,50,70,20,10,90,80
"471","348","Risiko","all","graphic center to grid",50,22.23,55.75,50,70,20,10,90,80,50,25.85,52.43,30,70,40,10,90,80
"472","348","Risiko","all","graphic center",56.62,21.42,57.06,41.16,77.44,36.28,4.5,90.12,85.62,48.62,25.01,51.84,31.28,76.44,45.16,3.5,92.38,88.88
"473","348","Risiko","all","graphic grid reached",50,23.56,56.5,30,70,40,10,90,80,50,25.98,51.68,30,70,40,10,90,80
"474","348","Risiko","all","graphic areas",56.75,22.89,56.43,39.5,75.75,36.25,0.25,100,99.75,49.75,25.01,51.39,30.75,74,43.25,0.25,99.5,99.25
"475","348","Risiko","all","weighted",58,22.72,57.84,41.5,77,35.5,0.25,100,99.75,50.25,25.07,52.27,31.5,75.5,44,0.25,99.5,99.25
"476","348","Risiko","all","pooling ",48.77,0.19,48.77,48.65,48.9,0.25,48.21,49.33,1.12,46.02,0.15,46.02,45.92,46.12,0.21,45.56,46.48,0.93
"477","349","Risiko","all","classic",50,14.44,54.27,50,70,20,10,90,80,50,16.14,55.07,50,70,20,10,90,80
"478","349","Risiko","all","graphic center to grid",50,20.62,54.86,50,70,20,10,90,80,50,24.24,47.33,30,50,20,10,90,80
"479","349","Risiko","all","graphic center",55.62,19.4,55.58,47.56,69.5,21.94,9,93.25,84.25,49.12,22.6,47.7,31.62,57,25.38,11.38,94.38,83
"480","349","Risiko","all","graphic grid reached",50,22.94,55.09,30,70,40,10,90,80,50,23.65,47.67,30,70,40,10,90,80
"481","349","Risiko","all","graphic areas",56.5,20.74,55.29,41.25,70.25,29,2,100,98,49.5,22.9,49.04,32.56,63,30.44,0.25,99.75,99.5
"482","349","Risiko","all","weighted",56.75,20.75,55.58,42.25,70.5,28.25,2,100,98,49.75,22.86,49.78,33.5,63.5,30,0.25,99.75,99.5
"483","349","Risiko","all","pooling ",53.23,0.2,53.23,53.1,53.37,0.27,52.62,53.84,1.22,41.72,0.15,41.72,41.62,41.82,0.2,41.27,42.17,0.9
"484","350","Risiko","all","classic",50,15.07,54,50,70,20,10,90,80,70,16.14,58.27,50,70,20,10,90,80
"485","350","Risiko","all","graphic center to grid",50,19.22,58.53,50,70,20,10,90,80,50,19.72,56.13,50,70,20,10,90,80
"486","350","Risiko","all","graphic center",54.5,18.47,58.59,47.12,71.56,24.44,15.75,92.12,76.38,54.75,20.13,56.01,46.06,71.31,25.25,7.38,93.75,86.38
"487","350","Risiko","all","graphic grid reached",50,22.1,56.88,50,70,20,10,90,80,50,22.91,55.71,30,70,40,10,90,80
"488","350","Risiko","all","graphic areas",57,20.66,56.67,41.5,72.25,30.75,0.75,100,99.25,54.5,20.9,53.92,41.25,70,28.75,0.75,96.25,95.5
"489","350","Risiko","all","weighted",57.75,19.74,57.64,42.75,72.5,29.75,0.75,100,99.25,55.5,20.32,55.33,43.75,71,27.25,0.75,96.25,95.5
"490","350","Risiko","all","pooling ",59.2,0.21,59.2,59.05,59.34,0.29,58.55,59.84,1.29,62.65,0.17,62.65,62.53,62.76,0.23,62.14,63.16,1.02
"491","351","Risiko","all","classic",50,14.55,48.65,30,50,20,30,90,60,50,18.03,53.78,50,70,20,10,90,80
"492","351","Risiko","all","graphic center to grid",50,22.37,56.58,50,70,20,10,90,80,50,23.4,49.46,30,70,40,10,90,80
"493","351","Risiko","all","graphic center",55.31,20.75,55.6,42.75,71.56,28.81,9,91.62,82.62,49.38,22.09,48.33,28,63.41,35.41,8.75,92.38,83.62
"494","351","Risiko","all","graphic grid reached",50,23.4,53.62,30,70,40,10,90,80,50,24.25,48.43,30,70,40,10,90,80
"495","351","Risiko","all","graphic areas",55.5,22.44,54.55,38.5,72,33.5,0.25,100,99.75,51,23.21,49.12,29.38,66,36.62,0.25,98.25,98
"496","351","Risiko","all","weighted",56.25,22.08,55.36,40,72.25,32.25,0.25,100,99.75,51,23.09,49.33,29.5,65.75,36.25,0.25,98.25,98
"497","351","Risiko","all","pooling ",54.64,0.28,54.64,54.45,54.82,0.38,53.8,55.48,1.68,47.23,0.13,47.23,47.14,47.32,0.18,46.83,47.62,0.79
"498","352","Risiko","all","classic",50,13.77,56.39,50,70,20,30,90,60,70,17.58,57.5,50,70,20,10,90,80
"499","352","Risiko","all","graphic center to grid",50,20.64,58.61,50,70,20,10,90,80,50,20.74,48.06,30,70,40,10,90,80
"500","352","Risiko","all","graphic center",56.81,19.41,58.86,44.91,70.72,25.81,8.88,97.12,88.25,49.44,20.5,48.45,32.12,63.31,31.19,6.12,92,85.88
"501","352","Risiko","all","graphic grid reached",50,21.71,56,50,70,20,10,90,80,50,22.85,48.84,30,70,40,10,90,80
"502","352","Risiko","all","graphic areas",56.75,20.45,57.41,43.25,72.25,29,0,100,100,50,21.55,49.48,34,64,30,1,100,99
"503","352","Risiko","all","weighted",57,20.18,58.12,44,73,29,0,100,100,50,21.22,49.37,34.25,63.75,29.5,1,100,99
"504","352","Risiko","all","pooling ",65.44,0.2,65.44,65.3,65.57,0.27,64.83,66.05,1.22,47.04,0.17,47.04,46.92,47.16,0.24,46.52,47.57,1.05
"505","353","Risiko","all","classic",50,17.18,54.27,50,70,20,10,90,80,50,19.05,52.13,50,70,20,10,90,80
"506","353","Risiko","all","graphic center to grid",50,20.56,58.27,50,70,20,10,90,80,50,23.49,46.8,30,60,30,10,90,80
"507","353","Risiko","all","graphic center",58,19.98,59.1,45.69,74.38,28.69,16.62,93.12,76.5,47.25,22.13,46.85,31.56,58.31,26.75,5.88,93.5,87.62
"508","353","Risiko","all","graphic grid reached",50,23.22,57.45,50,70,20,10,90,80,50,23.29,47.1,30,70,40,10,90,80
"509","353","Risiko","all","graphic areas",59.5,22.17,58.09,43,75.25,32.25,0,100,100,46,21.6,46.2,31.25,59,27.75,0.25,99.5,99.25
"510","353","Risiko","all","weighted",60.25,21.69,58.97,44.5,75.5,31,0,100,100,46,21.61,46.52,31.5,58.75,27.25,0.25,99.5,99.25
"511","353","Risiko","all","pooling ",58.97,0.21,58.97,58.83,59.12,0.29,58.34,59.61,1.28,63.13,0.04,63.13,63.1,63.16,0.05,63.01,63.25,0.24
"512","354","Risiko","all","classic",50,18.7,56.22,50,70,20,10,90,80,70,16.74,62.7,50,70,20,30,90,60
"513","354","Risiko","all","graphic center to grid",70,19.97,63.7,50,90,40,30,90,60,50,23.06,55.68,35,70,35,10,90,80
"514","354","Risiko","all","graphic center",63.06,18.66,63.39,50.5,80.31,29.81,20.12,93.62,73.5,52,21.87,55.37,39.59,73.94,34.34,3.25,94.38,91.12
"515","354","Risiko","all","graphic grid reached",70,22.91,59.94,50,70,20,10,90,80,50,22.61,54,30,70,40,10,90,80
"516","354","Risiko","all","graphic areas",60.5,21.97,58.95,43.75,76.25,32.5,0,100,100,52.25,21.48,53.07,38.25,68.5,30.25,0.75,99.5,98.75
"517","354","Risiko","all","weighted",63,20.54,61.69,48,78,30,0,100,100,53,21.21,54.36,39.5,70.25,30.75,0.75,99.5,98.75
"518","354","Risiko","all","pooling ",68.56,0.28,68.56,68.37,68.75,0.38,67.72,69.4,1.67,51.93,0.17,51.93,51.81,52.04,0.22,51.43,52.42,1
"519","355","Risiko","all","classic",70,17.59,60.54,50,70,20,10,90,80,50,22.34,44.32,30,50,20,10,90,80
"520","355","Risiko","all","graphic center to grid",70,24.1,61.62,50,90,40,10,90,80,30,23.31,31.1,10,50,40,10,90,80
"521","355","Risiko","all","graphic center",67.06,23.86,60.83,44.22,82.31,38.09,10.5,94.5,84,23.06,22.37,31.28,14.41,45.75,31.34,3.88,96.75,92.88
"522","355","Risiko","all","graphic grid reached",70,25.07,59.55,50,90,40,10,90,80,30,21.96,31.58,10,50,40,10,90,80
"523","355","Risiko","all","graphic areas",66,23.89,61.37,43.5,81.25,37.75,0.25,100,99.75,26.25,21.26,32.05,15.5,46.75,31.25,0.25,98.25,98
"524","355","Risiko","all","weighted",67.75,23.92,62.06,44,81.75,37.75,0.25,100,99.75,25.5,21.44,31.74,15.25,46.5,31.25,0.25,98.25,98
"525","355","Risiko","all","pooling ",55.98,0.2,55.98,55.85,56.11,0.27,55.38,56.58,1.19,27.57,0.15,27.57,27.46,27.67,0.21,27.1,28.03,0.93
"526","356","Risiko","all","classic",50,18.21,50,30,70,40,10,90,80,50,20.27,44.65,30,50,20,10,90,80
"527","356","Risiko","all","graphic center to grid",50,20.53,51.13,30,70,40,10,90,80,30,21.64,33.38,10,50,40,10,90,80
"528","356","Risiko","all","graphic center",51.62,19.25,52.15,37.88,62.19,24.31,9.38,88.62,79.25,31.5,20.96,34.08,15.06,50.5,35.44,4.25,87,82.75
"529","356","Risiko","all","graphic grid reached",50,22.64,51.83,30,70,40,10,90,80,30,22.75,37.29,10,50,40,10,90,80
"530","356","Risiko","all","graphic areas",52.75,20.86,52.98,38,68,30,0,99.75,99.75,37.25,21.85,37.41,17.75,52.75,35,0.75,95.25,94.5
"531","356","Risiko","all","weighted",52.75,20.56,53.16,38.5,67.75,29.25,0,99.75,99.75,35.75,21.79,36.65,17,52,35,0.75,95.25,94.5
"532","356","Risiko","all","pooling ",43.66,0.21,43.66,43.52,43.8,0.28,43.03,44.28,1.25,30.07,0.16,30.07,29.97,30.18,0.21,29.6,30.54,0.94
"533","357","Risiko","all","classic",50,17.73,58.27,50,70,20,30,90,60,50,19.54,55.33,50,70,20,10,90,80
"534","357","Risiko","all","graphic center to grid",60,20.2,60.27,50,70,20,10,90,80,50,23.94,50,30,70,40,10,90,80
"535","357","Risiko","all","graphic center",60.88,19.17,60.67,51.69,76.56,24.88,12.12,90.38,78.25,50.38,22.71,49.53,31.75,66.25,34.5,5.88,88.38,82.5
"536","357","Risiko","all","graphic grid reached",70,22.92,59.57,50,70,20,10,90,80,50,24.13,50,30,70,40,10,90,80
"537","357","Risiko","all","graphic areas",62,20.83,59.53,45.75,75.75,30,0.5,100,99.5,52,22.61,50.41,32.75,67.75,35,1.25,99,97.75
"538","357","Risiko","all","weighted",63.5,20.75,60.48,47.5,76.5,29,0.5,100,99.5,51.75,22.49,50.47,32.75,67.5,34.75,1.25,99,97.75
"539","357","Risiko","all","pooling ",61.72,0.18,61.72,61.59,61.84,0.25,61.17,62.27,1.1,54.59,0.17,54.59,54.48,54.7,0.22,54.09,55.09,1
"540","358","Risiko","all","classic",50,16.97,54.32,50,70,20,10,90,80,50,17.14,54.86,50,70,20,10,90,80
"541","358","Risiko","all","graphic center to grid",50,18.85,57.03,50,70,20,10,90,80,50,23.94,43.24,30,50,20,10,90,80
"542","358","Risiko","all","graphic center",55.12,19.56,56.85,45.16,74.16,29,9.25,89.25,80,46.19,22.23,43.23,26.53,58.31,31.78,8.5,88.62,80.12
"543","358","Risiko","all","graphic grid reached",50,24.05,55.95,30,70,40,10,90,80,50,24.26,44.49,30,70,40,10,90,80
"544","358","Risiko","all","graphic areas",56.25,22.28,55.58,40,74,34,0.25,99.75,99.5,46.25,23.57,45.46,25,62,37,0.75,100,99.25
"545","358","Risiko","all","weighted",57.75,21.63,56.82,42.25,74.75,32.5,0.25,99.75,99.5,45.75,23.09,44.67,24.5,60.5,36,0.75,100,99.25
"546","358","Risiko","all","pooling ",54.29,0.2,54.29,54.15,54.43,0.28,53.68,54.9,1.23,45.31,0.15,45.31,45.2,45.41,0.21,44.85,45.77,0.92
"547","359","Risiko","all","classic",70,16.22,63.33,50,70,20,10,90,80,50,17.86,56.93,50,70,20,10,90,80
"548","359","Risiko","all","graphic center to grid",70,19.88,67.87,50,90,40,10,90,80,50,21.63,54.27,30,70,40,10,90,80
"549","359","Risiko","all","graphic center",69.88,18.7,67.18,53.25,82.75,29.5,9,94.75,85.75,50.88,21.1,54.13,37,70.62,33.62,6.75,94.88,88.12
"550","359","Risiko","all","graphic grid reached",70,22.34,64.04,50,90,40,10,90,80,50,22.78,54.06,30,70,40,10,90,80
"551","359","Risiko","all","graphic areas",66.75,20.96,64.08,49.75,81.25,31.5,0,100,100,51.75,22.19,53.86,37.75,71.75,34,1.25,99.75,98.5
"552","359","Risiko","all","weighted",69.25,20.35,66.14,52,82.75,30.75,0,100,100,52.25,21.87,54.9,39,72.75,33.75,1.25,99.75,98.5
"553","359","Risiko","all","pooling ",70.77,0.24,70.77,70.61,70.93,0.32,70.05,71.48,1.43,53.01,0.16,53.01,52.91,53.12,0.21,52.54,53.49,0.95
"554","360","Risiko","all","classic",50,18.06,57.12,50,70,20,10,90,80,70,20.78,56.3,50,70,20,10,90,80
"555","360","Risiko","all","graphic center to grid",50,21.88,60.68,50,70,20,10,90,80,50,25.51,47.81,30,70,40,10,90,80
"556","360","Risiko","all","graphic center",58.38,20.23,60.14,47.25,79.12,31.88,12.25,91.38,79.12,46,24.35,47.09,27,65.5,38.5,5.12,93.88,88.75
"557","360","Risiko","all","graphic grid reached",60,22.93,58.35,50,70,20,10,90,80,50,24.66,48.31,30,70,40,10,90,80
"558","360","Risiko","all","graphic areas",60.5,22.06,59.71,43.5,78,34.5,0,100,100,47.75,23.9,47.66,28,66.25,38.25,0.5,96.75,96.25
"559","360","Risiko","all","weighted",61.25,21.45,60.74,45.25,78.75,33.5,0,100,100,48,24.23,48.03,27.75,67,39.25,0.5,96.75,96.25
"560","360","Risiko","all","pooling ",59.84,0.22,59.84,59.69,59.98,0.3,59.18,60.49,1.31,43.6,0.16,43.6,43.5,43.71,0.21,43.13,44.08,0.95
"561","361","Risiko","all","classic",50,16.51,54.66,50,70,20,10,90,80,70,18.21,58.22,50,70,20,10,90,80
"562","361","Risiko","all","graphic center to grid",70,21.05,59.01,50,70,20,10,90,80,50,22.6,48.61,30,70,40,10,90,80
"563","361","Risiko","all","graphic center",61.38,19.62,59.21,49.5,75,25.5,5.88,90,84.12,50.12,21.65,49.79,36.62,61.62,25,5.5,93.62,88.12
"564","361","Risiko","all","graphic grid reached",70,22.46,58.92,50,70,20,10,90,80,50,22.56,50,30,70,40,10,90,80
"565","361","Risiko","all","graphic areas",60.75,20.69,58.7,46,75,29,0,99.25,99.25,50,22.45,49.62,36.5,63.75,27.25,1,99,98
"566","361","Risiko","all","weighted",61.25,20.79,59.01,46.75,75.25,28.5,0,99.25,99.25,50,22.33,49.92,37,64,27,1,99,98
"567","361","Risiko","all","pooling ",61.17,0.21,61.17,61.03,61.32,0.29,60.53,61.81,1.28,51.79,0.17,51.79,51.68,51.91,0.23,51.28,52.31,1.02
"568","362","Risiko","all","classic",70,19.33,71.94,70,90,20,10,90,80,70,24.35,56.11,30,70,40,10,90,80
"569","362","Risiko","all","graphic center to grid",70,20.96,70.56,50,90,40,10,90,80,50,28.23,51.67,30,75,45,10,90,80
"570","362","Risiko","all","graphic center",74.75,20.09,70.55,56.38,87.44,31.06,16.62,97,80.38,48.12,28.26,51.19,28.06,80.59,52.53,6.5,97.25,90.75
"571","362","Risiko","all","graphic grid reached",70,23.65,65.28,50,90,40,10,90,80,50,27.85,50.85,30,70,40,10,90,80
"572","362","Risiko","all","graphic areas",69.25,23.56,64.45,48,84,36,0,100,100,46.5,26.7,49.38,28.25,74.5,46.25,1,100,99
"573","362","Risiko","all","weighted",73.75,21.95,68.34,53,86.25,33.25,0,100,100,47.25,27.25,50.09,28.25,76.75,48.5,1,100,99
"574","362","Risiko","all","pooling ",79.72,0.23,79.72,79.56,79.87,0.31,79.02,80.41,1.39,62.52,0.15,62.52,62.42,62.62,0.2,62.08,62.96,0.89
"575","363","Risiko","all","classic",70,15.56,67.06,50,70,20,30,90,60,50,20.74,57.65,50,70,20,10,90,80
"576","363","Risiko","all","graphic center to grid",70,21.81,64.41,50,90,40,10,90,80,50,23.43,50.59,30,70,40,10,90,80
"577","363","Risiko","all","graphic center",64.5,20.8,65.02,50.88,83.44,32.56,11.75,95.5,83.75,49.81,22.4,50.89,37.5,65.19,27.69,7.12,95.62,88.5
"578","363","Risiko","all","graphic grid reached",70,23.21,61.62,50,90,40,10,90,80,50,23.96,50.32,30,70,40,10,90,80
"579","363","Risiko","all","graphic areas",63.5,23.02,61.93,46.75,81,34.25,1,100,99,49.75,22.53,50.35,35.5,66.75,31.25,1,100,99
"580","363","Risiko","all","weighted",66.25,21.79,64.76,49.75,83,33.25,1,100,99,50,21.76,50.96,37,66.5,29.5,1,100,99
"581","363","Risiko","all","pooling ",68.28,0.29,68.28,68.09,68.48,0.39,67.42,69.15,1.73,48.43,0.17,48.43,48.31,48.54,0.23,47.92,48.93,1.01
"582","364","Chance","all","classic",70,13.6,71.31,70,70,0,30,90,60,70,17.51,70,70,90,20,10,90,80
"583","364","Chance","all","graphic center to grid",70,21.7,66.61,50,90,40,10,90,80,70,22.32,61.8,50,70,20,10,90,80
"584","364","Chance","all","graphic center",70.38,20.3,66.43,54.62,82.38,27.75,13.5,96.38,82.88,60.25,21.36,60.51,48.88,78.75,29.88,12,95.5,83.5
"585","364","Chance","all","graphic grid reached",70,22.69,63.81,50,90,40,10,90,80,70,23.53,58.93,50,70,20,10,90,80
"586","364","Chance","all","graphic areas",66.75,21.77,63.76,49.5,81,31.5,0.25,100,99.75,59.5,22.31,57.49,43.5,74.5,31,0.5,100,99.5
"587","364","Chance","all","weighted",68.75,20.69,65.66,52.25,82,29.75,0.25,100,99.75,61.75,21.36,59.92,46.5,76.25,29.75,0.5,100,99.5
"588","364","Chance","all","pooling ",73.96,0.23,73.96,73.81,74.12,0.31,73.27,74.65,1.38,57.21,0.17,57.21,57.09,57.32,0.23,56.69,57.73,1.04
"589","365","Risiko","all","classic",50,19.07,47.39,30,50,20,10,90,80,70,19.59,59.57,50,70,20,10,90,80
"590","365","Risiko","all","graphic center to grid",50,20.38,48.55,30,70,40,10,90,80,50,25.53,54.93,30,70,40,10,90,80
"591","365","Risiko","all","graphic center",50.12,19.34,48.94,35.12,60.12,25,8.38,90.5,82.12,53,24.7,54.29,39,73.5,34.5,5.88,91.5,85.62
"592","365","Risiko","all","graphic grid reached",50,22.85,48.8,30,70,40,10,90,80,50,25.91,55.08,30,70,40,10,90,80
"593","365","Risiko","all","graphic areas",49.25,21.38,49.26,33.75,63.25,29.5,0,99.75,99.75,56,24.23,54.51,37.75,74.5,36.75,0.75,97.75,97
"594","365","Risiko","all","weighted",49.25,20.8,49.13,34,62.5,28.5,0,99.75,99.75,56.75,24.12,55.35,39.5,75.25,35.75,0.75,97.75,97
"595","365","Risiko","all","pooling ",52.68,0.21,52.68,52.54,52.82,0.28,52.07,53.3,1.23,55.9,0.17,55.9,55.78,56.01,0.23,55.38,56.41,1.02
"596","366","Chance","all","classic",70,17.44,59.41,50,70,20,30,90,60,70,17.04,61.47,50,70,20,10,90,80
"597","366","Chance","all","graphic center to grid",50,20.26,58.82,50,70,20,10,90,80,50,23.9,55.59,30,70,40,10,90,80
"598","366","Chance","all","graphic center",58.81,19.33,58.68,49.31,72.66,23.34,14.62,91.75,77.12,55.62,22.93,55.67,39.06,76.84,37.78,8.5,90.88,82.38
"599","366","Chance","all","graphic grid reached",50,23.41,57.38,50,70,20,10,90,80,50,25.06,55.62,30,70,40,10,90,80
"600","366","Chance","all","graphic areas",59.5,21.72,57.65,44.5,74,29.5,2.25,100,97.75,53.25,23.39,53.03,36.44,72.75,36.31,0.5,99.25,98.75
"601","366","Chance","all","weighted",60,21.16,58.41,46.25,74.25,28,2.25,100,97.75,54.75,23.14,54.38,39,74,35,0.5,99.25,98.75
"602","366","Chance","all","pooling ",56.14,0.21,56.14,55.99,56.28,0.29,55.5,56.78,1.28,60.15,0.18,60.15,60.03,60.27,0.24,59.62,60.69,1.07
"603","401","Risiko","all","classic",10,34.64,30,10,40,30,10,70,60,70,41.63,56.67,40,80,40,10,90,80
"604","401","Risiko","all","graphic center to grid",10,46.19,36.67,10,50,40,10,90,80,70,41.63,56.67,40,80,40,10,90,80
"605","401","Risiko","all","graphic center",10,46.19,36.67,10,50,40,10,90,80,75,42.52,58.33,42.5,82.5,40,10,90,80
"606","401","Risiko","all","graphic grid reached",30,32.86,40,15,60,45,10,90,80,70,30.24,58.57,40,80,40,10,90,80
"607","401","Risiko","all","graphic areas",15,38.24,36.67,7.5,84.88,77.38,0,100,100,75,31.67,63.84,52.38,88.75,36.38,0,100,100
"608","401","Risiko","all","weighted",15,38.16,36.66,7.5,85,77.5,0,100,100,75,34.15,60.92,17.75,89,71.25,0,100,100
"609","401","Risiko","all","pooling ",32.34,1.98,32.34,31,33.67,2.67,26.4,38.28,11.88,55.73,2.29,55.73,54.18,57.27,3.09,48.85,62.6,13.76
"610","402","Risiko","all","classic",50,20,50,40,60,20,30,70,40,50,0,50,50,50,0,50,50,0
"611","402","Risiko","all","graphic center to grid",50,23.09,63.33,50,70,20,50,90,40,30,20,30,20,40,20,10,50,40
"612","402","Risiko","all","graphic center",50,20.21,61.67,50,67.5,17.5,50,85,35,30,17.56,31.67,22.5,40,17.5,15,50,35
"613","402","Risiko","all","graphic grid reached",60,21.21,57.5,45,70,25,30,90,60,30,20.7,35,25,50,25,10,70,60
"614","402","Risiko","all","graphic areas",52.5,15.09,57.07,46.25,58.88,12.62,40,90,50,35,14.51,34.95,22.38,47.38,25,10,60,50
"615","402","Risiko","all","weighted",53,15.49,57.76,46.5,59.5,13,40,90,50,34.25,14.63,34.46,21.25,47,25.75,10,60,50
"616","402","Risiko","all","pooling ",72.39,1.41,72.39,71.44,73.35,1.91,68.15,76.64,8.49,22.97,1.36,22.97,22.05,23.89,1.84,18.88,27.06,8.18
"617","403","Risiko","all","classic",50,31.62,50,30,70,40,10,90,80,50,31.62,50,30,70,40,10,90,80
"618","403","Risiko","all","graphic center to grid",50,31.62,50,30,70,40,10,90,80,50,31.62,50,30,70,40,10,90,80
"619","403","Risiko","all","graphic center",50,31.62,50,30,70,40,10,90,80,50,31.62,50,30,70,40,10,90,80
"620","403","Risiko","all","graphic grid reached",50,27.08,50,30,70,40,10,90,80,50,27.08,50,30,70,40,10,90,80
"621","403","Risiko","all","graphic areas",50,28.92,50,25,75,50,0,100,100,50,28.92,50,25,75,50,0,100,100
"622","403","Risiko","all","weighted",50,28.88,50,25,75,50,0,100,100,50,28.88,50,25,75,50,0,100,100
"623","403","Risiko","all","pooling ",50.42,1.5,50.42,49.42,51.43,2.02,45.94,54.91,8.98,50.42,1.5,50.42,49.42,51.43,2.02,45.94,54.91,8.98
"624","281","Risiko","core team","classic",50,19.12,42.14,30,50,20,10,90,80,70,20.73,60,50,70,20,10,90,80
